,_id,Sensor address,sensor_id,humidity,temperature,vdd,waterleak,time,light,motion
0,6346818488fe7bce33774431,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,26,23.1,3622,0.0,"2022/10/12, 10:57:40",,
1,6346818488fe7bce33774432,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,26,23.7,3623,0.0,"2022/10/12, 10:57:40",,
2,634681b788fe7bce33774433,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,30,21.9,3634,0.0,"2022/10/12, 10:58:31",,
3,634681b788fe7bce33774434,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,26,23.1,3624,0.0,"2022/10/12, 10:58:31",,
4,634681e688fe7bce33774435,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,26,23.7,3623,0.0,"2022/10/12, 10:59:18",,
5,634681e688fe7bce33774436,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,30,22.0,3634,0.0,"2022/10/12, 10:59:18",,
6,6346821088fe7bce33774437,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,26,23.1,3622,0.0,"2022/10/12, 11:00:00",,
7,6346821088fe7bce33774438,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,26,23.7,3625,0.0,"2022/10/12, 11:00:00",,
8,6346824388fe7bce33774439,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,30,22.0,3634,0.0,"2022/10/12, 11:00:51",,
9,6346824388fe7bce3377443a,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,26,23.1,3624,0.0,"2022/10/12, 11:00:51",,
10,6346827288fe7bce3377443b,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,26,23.7,3623,0.0,"2022/10/12, 11:01:38",,
11,6346827288fe7bce3377443c,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,30,22.0,3631,0.0,"2022/10/12, 11:01:38",,
12,6346829c88fe7bce3377443d,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,26,23.1,3624,0.0,"2022/10/12, 11:02:20",,
13,6346829c88fe7bce3377443e,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,26,23.7,3623,0.0,"2022/10/12, 11:02:20",,
14,634682cf88fe7bce3377443f,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,30,22.0,3631,0.0,"2022/10/12, 11:03:11",,
15,634682cf88fe7bce33774440,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,26,23.1,3624,0.0,"2022/10/12, 11:03:11",,
16,634682fe88fe7bce33774441,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,26,23.8,3625,0.0,"2022/10/12, 11:03:58",,
17,634682fe88fe7bce33774442,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,30,22.0,3631,0.0,"2022/10/12, 11:03:58",,
18,6346832888fe7bce33774443,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,26,23.0,3624,0.0,"2022/10/12, 11:04:40",,
19,6346832888fe7bce33774444,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,26,23.7,3623,0.0,"2022/10/12, 11:04:40",,
20,6346835b88fe7bce33774445,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,30,22.0,3631,0.0,"2022/10/12, 11:05:31",,
21,6346835b88fe7bce33774446,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,26,23.1,3624,0.0,"2022/10/12, 11:05:31",,
22,6346838a88fe7bce33774447,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,26,23.7,3625,0.0,"2022/10/12, 11:06:18",,
23,6346838a88fe7bce33774448,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,30,22.0,3631,0.0,"2022/10/12, 11:06:18",,
24,634683b488fe7bce33774449,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,27,23.1,3624,0.0,"2022/10/12, 11:07:00",,
25,634683b488fe7bce3377444a,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,26,23.8,3625,0.0,"2022/10/12, 11:07:00",,
26,634683e788fe7bce3377444b,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,30,22.0,3634,0.0,"2022/10/12, 11:07:51",,
27,634683e788fe7bce3377444c,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,26,23.1,3624,0.0,"2022/10/12, 11:07:51",,
28,6346841688fe7bce3377444d,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,26,23.7,3625,0.0,"2022/10/12, 11:08:38",,
29,6346841688fe7bce3377444e,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,30,22.0,3634,0.0,"2022/10/12, 11:08:38",,
30,6346844088fe7bce3377444f,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,26,23.1,3624,0.0,"2022/10/12, 11:09:20",,
31,6346844088fe7bce33774450,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,26,23.7,3623,0.0,"2022/10/12, 11:09:20",,
32,6346847388fe7bce33774451,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,30,22.0,3631,0.0,"2022/10/12, 11:10:11",,
33,6346847388fe7bce33774452,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,26,23.1,3622,0.0,"2022/10/12, 11:10:11",,
34,634684a288fe7bce33774453,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,26,23.7,3623,0.0,"2022/10/12, 11:10:58",,
35,634684a288fe7bce33774454,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,30,22.0,3634,0.0,"2022/10/12, 11:10:58",,
36,634684d588fe7bce33774455,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,26,23.1,3624,0.0,"2022/10/12, 11:11:49",,
37,634684d588fe7bce33774456,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,26,23.7,3625,0.0,"2022/10/12, 11:11:49",,
38,634684ff88fe7bce33774457,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,30,22.0,3634,0.0,"2022/10/12, 11:12:31",,
39,634684ff88fe7bce33774458,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,26,23.0,3622,0.0,"2022/10/12, 11:12:31",,
40,6346852e88fe7bce33774459,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,26,23.7,3623,0.0,"2022/10/12, 11:13:18",,
41,6346852e88fe7bce3377445a,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,30,22.0,3634,0.0,"2022/10/12, 11:13:18",,
42,6346855888fe7bce3377445b,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,26,23.1,3622,0.0,"2022/10/12, 11:14:00",,
43,6346855888fe7bce3377445c,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,26,23.7,3623,0.0,"2022/10/12, 11:14:00",,
44,6346859e88fe7bce3377445d,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,26,23.1,3622,0.0,"2022/10/12, 11:15:10",,
45,6346859e88fe7bce3377445e,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,26,23.7,3625,0.0,"2022/10/12, 11:15:10",,
46,634685d188fe7bce3377445f,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,30,22.0,3634,0.0,"2022/10/12, 11:16:01",,
47,634685d188fe7bce33774460,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,26,23.1,3624,0.0,"2022/10/12, 11:16:01",,
48,6346860088fe7bce33774461,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,26,23.7,3623,0.0,"2022/10/12, 11:16:48",,
49,6346860088fe7bce33774462,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,30,22.0,3631,0.0,"2022/10/12, 11:16:48",,
50,6346864688fe7bce33774463,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,26,23.7,3623,0.0,"2022/10/12, 11:17:58",,
51,6346864688fe7bce33774464,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,30,22.0,3634,0.0,"2022/10/12, 11:17:58",,
52,6346867088fe7bce33774465,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,26,23.1,3624,0.0,"2022/10/12, 11:18:40",,
53,6346867088fe7bce33774466,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,26,23.7,3623,0.0,"2022/10/12, 11:18:40",,
54,634686a388fe7bce33774467,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,30,22.0,3631,0.0,"2022/10/12, 11:19:31",,
55,634686a388fe7bce33774468,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,26,23.1,3624,0.0,"2022/10/12, 11:19:31",,
56,634686d288fe7bce33774469,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,25,23.7,3623,0.0,"2022/10/12, 11:20:18",,
57,634686d288fe7bce3377446a,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,30,22.0,3631,0.0,"2022/10/12, 11:20:18",,
58,634686fc88fe7bce3377446b,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,26,23.1,3627,0.0,"2022/10/12, 11:21:00",,
59,634686fc88fe7bce3377446c,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,25,23.7,3623,0.0,"2022/10/12, 11:21:00",,
60,6346872f88fe7bce3377446d,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,30,22.0,3631,0.0,"2022/10/12, 11:21:51",,
61,6346872f88fe7bce3377446e,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,26,23.1,3624,0.0,"2022/10/12, 11:21:51",,
62,6346875e88fe7bce3377446f,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,26,23.7,3623,0.0,"2022/10/12, 11:22:38",,
63,6346875e88fe7bce33774470,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,30,22.1,3631,0.0,"2022/10/12, 11:22:38",,
64,6346878888fe7bce33774471,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,26,23.1,3624,0.0,"2022/10/12, 11:23:20",,
65,6346878888fe7bce33774472,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,26,23.7,3623,0.0,"2022/10/12, 11:23:20",,
66,634687bb88fe7bce33774473,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,30,22.0,3631,0.0,"2022/10/12, 11:24:11",,
67,634687bb88fe7bce33774474,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,26,23.1,3624,0.0,"2022/10/12, 11:24:11",,
68,634687ea88fe7bce33774475,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,26,23.7,3625,0.0,"2022/10/12, 11:24:58",,
69,634687ea88fe7bce33774476,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,30,22.0,3631,0.0,"2022/10/12, 11:24:58",,
