,Date,Time,Indoor Temperature,Air Quality,Indoor Humidity,Outside Temperature,Outside Humidity,Median daily temp
0,2020-01-01,06:00:00,23.22658764115552,G,26.24576861221977,2.8,81.0,3.5
1,2020-01-01,07:00:00,23.40519231092858,G,26.31776650348178,3.0666666666666664,80.0,3.5
2,2020-01-01,08:00:00,23.39158380676485,G,25.85340235694072,3.333333333333333,85.0,3.5
3,2020-01-01,09:00:00,23.562065171809422,G,25.69272621542316,3.866666666666667,86.0,3.5
4,2020-01-01,10:00:00,23.4087510729198,G,25.8148880520883,4.133333333333334,83.0,3.5
5,2020-01-01,11:00:00,23.643324490978507,G,25.83372173502655,4.666666666666668,81.0,3.5
6,2020-01-01,12:00:00,23.4299472935714,G,26.04846703995931,5.200000000000001,81.0,3.5
7,2020-01-01,13:00:00,23.72006130184622,G,25.765532424843062,4.933333333333334,80.0,3.5
8,2020-01-01,14:00:00,23.81520754882517,G,25.68203734485953,5.200000000000001,79.0,3.5
9,2020-01-01,15:00:00,24.09189608403031,G,25.266163703753527,4.7266666666666675,78.0,3.5
10,2020-01-01,16:00:00,23.87488343593525,G,25.527442414935653,4.4754000000000005,77.0,3.5
11,2020-01-01,17:00:00,23.71672398615484,G,25.780569506913256,4.133333333333334,77.0,3.5
12,2020-01-01,18:00:00,23.4173437720798,G,25.29078797144397,4.4,77.0,3.5
13,2020-01-01,19:00:00,23.516900936855507,G,25.51902518803515,3.8666666666666667,82.0,3.5
14,2020-01-01,20:00:00,23.38137318000893,G,25.125984437536264,3.6,85.0,3.5
15,2020-01-01,21:00:00,23.213166955142167,G,24.82080462097626,3.333333333333333,86.0,3.5
16,2020-01-01,22:00:00,23.152759986990983,G,25.07274182095753,3.0666666666666664,84.0,3.5
17,2020-01-01,23:00:00,22.97826417218174,G,25.2012490050423,2.8,85.0,3.5
18,2020-01-02,01:00:00,23.237096302624938,G,24.711128352505792,2.266666666666666,85.0,6.1
19,2020-01-02,02:00:00,23.176700743076857,,24.651966271829348,2.8,85.0,6.1
20,2020-01-02,03:00:00,22.959123871575663,G,24.75756049085101,2.5333333333333328,84.0,6.1
21,2020-01-02,04:00:00,22.696633371860774,G,24.974934954021023,2.8,83.0,6.1
22,2020-01-02,05:00:00,22.723791495974403,G,24.97654793319868,3.8666666666666667,83.0,6.1
23,2020-01-02,06:00:00,22.623373097680943,G,25.07377970933053,6.0,83.0,6.1
24,2020-01-02,07:00:00,22.412873891296627,G,25.45560002425376,5.733333333333333,82.0,6.1
25,2020-01-02,08:00:00,22.16867064960207,G,25.45096727801989,5.466666666666667,82.0,6.1
26,2020-01-02,09:00:00,22.01689716234071,G,25.48950977131449,4.933333333333334,84.0,6.1
