,_id,Sensor address,sensor_id,humidity,temperature,vdd,waterleak,time,outside temperature (TF),outside relativeHumidity (TF),precipitation (TF),precipitation type (TF),light,motion
0,63728011caf3517df237c199,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,36,21.9,3624,0.0,"2022/11/14, 18:51:13",6.8,98.7,0.0,Ingen nederbörd,,
1,63728011caf3517df237c19a,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,37,22.2,3629,0.0,"2022/11/14, 18:51:13",6.8,98.7,0.0,Ingen nederbörd,,
2,637280a2caf3517df237c19b,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,36,22.3,3633,0.0,"2022/11/14, 18:53:38",6.8,98.7,0.0,Ingen nederbörd,,
3,637280a2caf3517df237c19c,Madelens skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b67,29,25.9,3636,0.0,"2022/11/14, 18:53:38",6.8,98.7,0.0,Ingen nederbörd,,
4,6372848c679d686ec9534093,Madelens skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b67,29,25.8,3636,0.0,"2022/11/14, 19:10:20",6.8,98.7,0.0,Ingen nederbörd,,
5,6372848c679d686ec9534094,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,36,21.9,3624,0.0,"2022/11/14, 19:10:20",6.8,98.7,0.0,Ingen nederbörd,,
6,63728509679d686ec9534095,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,37,22.1,3629,0.0,"2022/11/14, 19:12:25",6.8,98.7,0.0,Ingen nederbörd,,
7,63728509679d686ec9534096,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,36,22.3,3633,0.0,"2022/11/14, 19:12:25",6.8,98.7,0.0,Ingen nederbörd,,
8,637285b8679d686ec9534097,Madelens skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b67,30,25.9,3636,0.0,"2022/11/14, 19:15:20",6.8,98.7,0.0,Ingen nederbörd,,
9,637285b8679d686ec9534098,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,36,22.0,3624,0.0,"2022/11/14, 19:15:20",6.8,98.7,0.0,Ingen nederbörd,,
10,637285fa679d686ec9534099,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,37,22.1,3631,0.0,"2022/11/14, 19:16:26",6.8,98.7,0.0,Ingen nederbörd,,
11,637285fa679d686ec953409a,ERS Sensor Addiva Sigurdsgatan,eui-a81758fffe034f66,39,22.2,3604,,"2022/11/14, 19:16:26",6.8,98.7,0.0,Ingen nederbörd,1.0,0.0
12,6372867e679d686ec953409b,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,36,22.3,3633,0.0,"2022/11/14, 19:18:38",6.8,98.7,0.0,Ingen nederbörd,,
13,6372867e679d686ec953409c,Madelens skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b67,30,25.8,3636,0.0,"2022/11/14, 19:18:38",6.8,98.7,0.0,Ingen nederbörd,,
14,63728719679d686ec953409d,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,36,22.0,3624,0.0,"2022/11/14, 19:21:13",6.8,98.7,0.0,Ingen nederbörd,,
15,63728719679d686ec953409e,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,37,22.1,3629,0.0,"2022/11/14, 19:21:13",6.8,98.7,0.0,Ingen nederbörd,,
16,637287aa679d686ec953409f,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,36,22.2,3633,0.0,"2022/11/14, 19:23:38",6.8,98.7,0.0,Ingen nederbörd,,
17,637287aa679d686ec95340a0,Madelens skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b67,30,25.9,3636,0.0,"2022/11/14, 19:23:38",6.8,98.7,0.0,Ingen nederbörd,,
18,63728845679d686ec95340a1,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,36,22.0,3627,0.0,"2022/11/14, 19:26:13",6.8,98.7,0.0,Ingen nederbörd,,
19,63728845679d686ec95340a2,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,37,22.0,3631,0.0,"2022/11/14, 19:26:13",6.8,98.7,0.0,Ingen nederbörd,,
20,6372888d679d686ec95340a3,ERS Sensor Addiva Sigurdsgatan,eui-a81758fffe034f66,39,22.1,3604,,"2022/11/14, 19:27:25",6.8,98.7,0.0,Ingen nederbörd,1.0,0.0
21,6372888d679d686ec95340a4,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,36,22.2,3633,0.0,"2022/11/14, 19:27:25",6.8,98.7,0.0,Ingen nederbörd,,
22,6372893c679d686ec95340a5,Madelens skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b67,30,25.8,3636,0.0,"2022/11/14, 19:30:20",6.8,98.7,0.0,Ingen nederbörd,,
23,6372893c679d686ec95340a6,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,36,22.0,3627,0.0,"2022/11/14, 19:30:20",6.8,98.7,0.0,Ingen nederbörd,,
24,637289b9679d686ec95340a7,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,37,22.1,3629,0.0,"2022/11/14, 19:32:25",6.8,98.7,0.0,Ingen nederbörd,,
25,637289b9679d686ec95340a8,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,36,22.2,3633,0.0,"2022/11/14, 19:32:25",6.8,98.7,0.0,Ingen nederbörd,,
26,63728bc96f7ea3694b93e6d8,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,36,22.0,3627,0.0,"2022/11/14, 19:41:13",6.7,98.8,0.0,Ingen nederbörd,,
27,63728bc96f7ea3694b93e6d9,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,37,22.1,3629,0.0,"2022/11/14, 19:41:13",6.7,98.8,0.0,Ingen nederbörd,,
28,63728c5a6f7ea3694b93e6da,Skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b66,36,22.2,3633,0.0,"2022/11/14, 19:43:38",6.7,98.8,0.0,Ingen nederbörd,,
29,63728c5a6f7ea3694b93e6db,Madelens skrivbord Addiva Sigurdsgatan,eui-a81758fffe075b67,30,25.8,3636,0.0,"2022/11/14, 19:43:38",6.7,98.8,0.0,Ingen nederbörd,,
30,63728cf56f7ea3694b93e6dc,Matsal Addiva Sigurdsgatan,eui-a81758fffe075c91,36,22.0,3624,0.0,"2022/11/14, 19:46:13",6.7,98.8,0.0,Ingen nederbörd,,
31,63728cf56f7ea3694b93e6dd,Pingisrum Addiva Sigurdsgatan,eui-a81758fffe075b65,37,22.0,3629,0.0,"2022/11/14, 19:46:13",6.7,98.8,0.0,Ingen nederbörd,,
32,63728d3d6f7ea3694b93e6de,ERS Sensor Addiva Sigurdsgatan,eui-a81758fffe034f66,40,22.1,3601,,"2022/11/14, 19:47:25",6.7,98.8,0.0,Ingen nederbörd,1.0,0.0
